Support	R	EN	QN	Subshell	Ion_OE	Auxiliary_type	Auxiliary_zval	DFT_x1	DFT_x2	DFT_x3	DFT_x4	DFT_x5	DFT_x6	DFT_x7	DFT_p1	DFT_p2	DFT_p3	pbe0_x1	pbe0_x2	pbe0_x3	pbe0_x4	pbe0_x5	pbe0_x6	pbe0_x7	pbe0_p1	pbe0_p2	pbe0_p3
a-TiO2	147	1.54	3	5	0	2	2.7	0.18052	0.16199	0.35026	0.16199	0.32810	0.00000	0.00000	1.63806	1.63847	1.63807	0.17733	0.16185	0.38076	0.16185	0.36580	0.00000	0.00000	1.55446	1.55501	1.55446
r-TiO2	147	1.54	3	5	0	2	2.7	0.26815	0.26906	0.18476	0.26906	0.17583	0.00000	0.00000	1.66049	1.62748	1.66049	0.29355	0.28494	0.19806	0.28495	0.16978	0.00000	0.00000	1.57913	1.53020	1.57913
CeO2	204	1.12	4	7	0	2	7.6	0.08463	0.22705	0.06966	0.10708	0.06966	0.04721	0.08463	1.75030	1.75030	1.75030	0.05782	0.17793	0.04824	0.07219	0.04824	0.03387	0.05782	1.69136	1.69136	1.69136
Cu2O	145	1.9	3	5	10	2	3.1	1.88547	1.88547	2.01514	1.88547	2.01514	0.00000	0.00000	1.49502	1.49502	1.49502	1.90930	1.90930	2.02691	1.90930	2.02691	0.00000	0.00000	1.46992	1.46992	1.46992
WO3	139	2.36	5	5	0	0	0	0.39438	0.41632	0.37967	0.40006	0.36304	0.00000	0.00000	1.53249	1.54704	1.50670	0.39587	0.42055	0.39420	0.40401	0.37909	0.00000	0.00000	1.50379	1.51732	1.47550
Y2O3	180	1.22	4	5	0	1	4	0.07033	0.07033	0.03798	0.07033	0.03798	0.00000	0.00000	1.74412	1.74412	1.74411	0.10898	0.10898	0.04521	0.10898	0.04521	0.00000	0.00000	1.64475	1.64475	1.64475
ZrO2	155	1.33	4	5	0	1	3.5	0.12334	0.16876	0.14038	0.18010	0.09096	0.00000	0.00000	2.08365	1.25095	2.01872	0.15828	0.23049	0.17825	0.24391	0.11053	0.00000	0.00000	2.00717	1.18800	1.94087
MoO3	145	2.16	4	5	0	0	0	0.54009	0.49311	0.46878	0.46939	0.52024	0.00000	0.00000	1.56659	1.40551	1.53680	0.55132	0.51630	0.49655	0.47789	0.54938	0.00000	0.00000	1.54079	1.35049	1.49606
LiCoO2	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0.00000	0.00000	1.63215	1.73854	1.63526	1.48825	1.02166	2.04020	1.03096	1.50002	0.00000	0.00000	1.54630	1.66290	1.55042
LiFePO4	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0.00000	0.00000	1.46515	1.40816	1.43974	1.42099	0.78297	2.04000	0.86670	1.32487	0.00000	0.00000	1.41738	1.35693	1.39313
